stimindex,value,rpe,sim_reward,sub,reward,sim
0,0.0,0.0,0.0,101,acc,exp
19,0.823468387127,0.0983731895685,0.921841561794,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
19,0.891176342964,0.00578414043412,0.896960496902,101,acc,exp
19,0.0,0.0,0.0,101,acc,exp
20,0.893132090569,0.0137370713055,0.90686917305,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
17,0.0,0.0,0.0,101,acc,exp
22,0.84501594305,0.0363447479904,0.881360650063,101,acc,exp
18,0.0,0.0,0.0,101,acc,exp
19,0.760648667812,0.0472303777933,0.807879030704,101,acc,exp
21,0.897776961327,-0.261072784662,0.636704146862,101,acc,exp
23,0.857304990292,-0.26395508647,0.59334987402,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
22,0.0,0.0,0.0,101,acc,exp
23,0.809501707554,0.0355004370213,0.845002174377,101,acc,exp
24,0.821505308151,0.115202501416,0.936707794666,101,acc,exp
23,0.882224440575,0.102479673922,0.984704136848,101,acc,exp
24,0.916875362396,-0.033447612077,0.883427739143,101,acc,exp
20,0.0,0.0,0.0,101,acc,exp
25,0.860458135605,-0.204053744674,0.65640437603,101,acc,exp
21,0.776618480682,0.164798766375,0.941417217255,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
20,0.832874059677,-0.173448845744,0.659425199032,101,acc,exp
21,0.0,0.0,0.0,101,acc,exp
22,0.832341015339,-0.0117293102667,0.820611715317,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
20,0.856730818748,-0.0740465894341,0.782684206963,101,acc,exp
21,0.831693828106,0.110936321318,0.942630112171,101,acc,exp
22,0.869204163551,0.00587940681726,0.875083565712,101,acc,exp
23,0.828375041485,-0.12118216604,0.707192897797,101,acc,exp
23,0.871192157269,-0.0347442924976,0.836447834969,101,acc,exp
26,0.791462481022,0.0278603266925,0.819322824478,101,acc,exp
24,0.0,0.0,0.0,101,acc,exp
22,0.0,0.0,0.0,101,acc,exp
23,0.774226665497,-0.0352903977036,0.738936245441,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
25,0.905565917492,-0.249504134059,0.656061768532,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
24,0.859444200993,0.00395119329914,0.863395392895,101,acc,exp
24,0.762294113636,0.0486189611256,0.810913026333,101,acc,exp
25,0.860780239105,0.0824368521571,0.943217098713,101,acc,exp
24,0.768055140972,0.116569079459,0.884624242783,101,acc,exp
26,0.821202337742,-0.230357348919,0.590844988823,101,acc,exp
25,0.807470083237,0.034556530416,0.842026591301,101,acc,exp
26,0.819154500961,0.0525931157172,0.871747612953,101,acc,exp
27,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
25,0.0,0.0,0.0,101,acc,exp
26,0.778733372688,0.0270446576178,0.805778026581,101,acc,exp
27,0.80088275671,-0.0860716402531,0.714811086655,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
25,0.0,0.0,0.0,101,acc,exp
28,0.83693754673,0.0404431968927,0.877380788326,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
27,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
28,0.77177977562,0.0947599858046,0.866539776325,101,acc,exp
27,0.743312716484,0.0183112379164,0.761623978615,101,acc,exp
26,0.0,0.0,0.0,101,acc,exp
28,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
27,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
28,0.749504208565,-0.188061073422,0.561443150043,101,acc,exp
29,0.803820490837,0.0603265762329,0.86414706707,101,acc,exp
28,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
26,0.0,0.0,0.0,101,acc,exp
27,0.888654172421,0.0521458275616,0.940800011158,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
29,0.787877857685,0.0697664618492,0.857644319534,101,acc,exp
30,0.811467647552,0.111589170992,0.923056781292,101,acc,exp
28,0.0,0.0,0.0,101,acc,exp
31,0.849198698997,-0.144942253828,0.704256474972,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
29,0.68591606617,-0.0116331074387,0.674282968044,101,acc,exp
29,0.0,0.0,0.0,101,acc,exp
30,0.681982636452,-0.0392041504383,0.642778456211,101,acc,exp
29,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
29,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
31,0.668726742268,0.00778254074976,0.676509261131,101,acc,exp
30,0.0,0.0,0.0,101,acc,exp
30,0.906286001205,-0.0385940819979,0.867691934109,101,acc,exp
32,0.67135822773,0.249878436327,0.921236634254,101,acc,exp
30,0.850612401962,0.0382719375193,0.888884365559,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
31,0.0,0.0,0.0,101,acc,exp
32,0.800190150738,0.126961961389,0.927152097225,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
31,0.0,0.0,0.0,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
33,0.84311914444,0.130154952407,0.973274111748,101,acc,exp
31,0.0,0.0,0.0,101,acc,exp
30,0.824218392372,-0.134585753083,0.68963265419,101,acc,exp
31,0.0,0.0,0.0,101,acc,exp
32,0.893236339092,-0.152647688985,0.740588665009,101,acc,exp
33,0.755848348141,0.115737766027,0.871586084366,101,acc,exp
32,0.778711616993,-0.0957190468907,0.682992577553,101,acc,exp
0,0.0,0.0,0.0,101,acc,exp
33,0.8416223526,-0.267361223698,0.574261128902,101,acc,exp
32,0.0,0.0,0.0,101,acc,exp
33,0.0,0.0,0.0,101,acc,exp
33,0.0,0.0,0.0,101,acc,exp
32,0.863553106785,-0.0168326813728,0.846720457077,101,acc,exp
33,0.857861578465,-0.0758225470781,0.782038986683,101,acc,exp
34,0.751220822334,0.208432361484,0.959653198719,101,acc,exp
1,0.0,0.0,0.0,101,acc,gauss
2,0.0,0.96862500906,0.96862500906,101,acc,gauss
1,0.0,0.0,0.0,101,acc,gauss
2,0.0,0.0,0.0,101,acc,gauss
1,0.0,0.0,0.0,101,acc,gauss
0,0.0,0.0,0.0,101,acc,gauss
