blockindex	stim	cresp	acc	rt	resp	category	width	angle	ignore	gl	ignore2	stimindex	sub	resp1	resp6	cresp6	cresp1
93	tree19.jpg	6	1	0.555357	6	2	52.0308	45.31	-1	1	0	27	101	0	1	1	0
95	tree18.jpg	1	1	1.365907	1	2	47.1334	36.88	-1	1	0	29	101	1	0	0	1
96	tree18.jpg	1	1	0.909586	1	2	52.9301	43.38	-1	1	0	30	101	1	0	0	1
97	tree19.jpg	6	0	0.600912	1	1	24.5358	48.61	-1	-1	0	28	101	1	0	1	0
98	tree18.jpg	1	1	1.216708	1	2	35.1194	20.17	-1	1	0	31	101	1	0	0	1
100	tree39.jpg	6	1	0.723815	6	2	28.6085	18.61	-1	1	0	29	101	0	1	1	0
101	tree11.jpg	1	0	0	5	0	0	0	0	0	0	29	101	0	0	0	1
102	tree39.jpg	6	1	0.674452	6	2	87.0774	82.62	-1	1	0	30	101	0	1	1	0
103	tree19.jpg	6	0	1.039169	1	1	48.3904	71.52	-1	-1	0	29	101	1	0	1	0
106	tree22.jpg	6	0	1.057041	1	1	63.7273	91.53	-1	-1	0	29	101	1	0	1	0
109	tree39.jpg	6	1	0.730306	6	2	85.3318	76.81	-1	1	0	31	101	0	1	1	0
110	tree22.jpg	6	0	0.737795	1	1	38.0277	62.61	-1	-1	0	30	101	1	0	1	0
111	tree19.jpg	6	1	0.865586	6	2	46.3076	38.43	-1	1	0	30	101	0	1	1	0
112	tree39.jpg	6	1	0.650308	6	2	52.7822	43.18	-1	1	0	32	101	0	1	1	0
113	tree11.jpg	1	1	0.868576	1	2	64.5868	56.04	-1	1	0	30	101	1	0	0	1
115	tree22.jpg	6	0	1.269257	1	1	52.0498	81.55	-1	-1	0	31	101	1	0	1	0
116	tree18.jpg	1	1	0.86926	1	2	60.4506	54.1	-1	1	0	32	101	1	0	0	1
119	tree11.jpg	1	0	0.956683	6	1	49.1325	80	-1	-1	0	31	101	0	1	0	1
121	tree18.jpg	1	1	0.905192	1	2	52.3664	48.69	-1	1	0	33	101	1	0	0	1
122	tree19.jpg	6	0	0	5	0	0	0	0	0	0	31	101	0	0	1	0
123	tree10.jpg	1	1	0.947844	1	2	35.6375	17.61	-1	1	0	30	101	1	0	0	1
124	tree10.jpg	1	0	1.264951	6	1	46.8833	73.09	-1	-1	0	31	101	0	1	0	1
125	tree19.jpg	6	1	0.81822	6	2	78.3957	70.24	-1	1	0	32	101	0	1	1	0
126	tree39.jpg	6	1	0.558403	6	2	65.9549	57.97	-1	1	0	33	101	0	1	1	0
127	tree10.jpg	1	1	1.038603	1	2	26.5288	21.58	-1	1	0	32	101	1	0	0	1
129	tree19.jpg	6	1	0.817608	6	2	97.5549	88.97	-1	1	0	33	101	0	1	1	0
130	tree22.jpg	6	0	1.07223	1	1	20.7019	43.62	-1	-1	0	32	101	1	0	1	0
131	tree22.jpg	6	0	0.861916	1	1	20.3108	50.27	-1	-1	0	33	101	1	0	1	0
132	tree10.jpg	1	0	0.759825	6	1	10.7928	44.2	-1	-1	0	33	101	0	1	0	1
133	tree11.jpg	1	1	0.820493	1	2	66.4594	62.34	-1	1	0	32	101	1	0	0	1
